State,Week,Value
Alabama,08/01/2010,3
Alabama,15/01/2010,2
Alabama,22/01/2010,2
Alabama,29/01/2010,3
Alabama,05/02/2010,3
Alabama,12/02/2010,4
Alabama,19/02/2010,4
Alabama,26/02/2010,4
Alabama,05/03/2010,5
Alabama,12/03/2010,5
Alabama,19/03/2010,4
Alabama,26/03/2010,4
Alabama,02/04/2010,4
Alabama,09/04/2010,5
Alabama,16/04/2010,5
Alabama,23/04/2010,5
Alabama,30/04/2010,4
Alabama,07/05/2010,4
Alabama,14/05/2010,3
Alabama,21/05/2010,3
Alabama,28/05/2010,3
Alabama,04/06/2010,3
Alabama,11/06/2010,3
Alabama,18/06/2010,3
Alabama,25/06/2010,6
Alabama,02/07/2010,7
Alabama,09/07/2010,7
Alabama,16/07/2010,8
Alabama,23/07/2010,8
Alabama,30/07/2010,6
Alabama,06/08/2010,5
Alabama,13/08/2010,5
Alabama,20/08/2010,5
Alabama,27/08/2010,5
Alabama,03/09/2010,5
Alabama,10/09/2010,5
Alabama,17/09/2010,5
Alabama,24/09/2010,5
Alabama,01/10/2010,5
Alabama,08/10/2010,2
Alabama,15/10/2010,7
Alabama,22/10/2010,8
Alabama,29/10/2010,8
Alabama,05/11/2010,6
Alabama,12/11/2010,7
Alabama,19/11/2010,7
Alabama,26/11/2010,8
Alabama,03/12/2010,8
Alabama,10/12/2010,7
Alabama,17/12/2010,6
Alabama,24/12/2010,6
Alabama,31/12/2010,7
Alabama,07/01/2011,7
Alabama,14/01/2011,7
Alabama,21/01/2011,7
Alabama,28/01/2011,8
Alabama,04/02/2011,8
Alabama,11/02/2011,8
Alabama,18/02/2011,8
Alabama,25/02/2011,8
Alabama,04/03/2011,6
Alabama,11/03/2011,7
Alabama,18/03/2011,7
Alabama,25/03/2011,6
Alabama,01/04/2011,6
Alabama,08/04/2011,6
Alabama,15/04/2011,5
Alabama,22/04/2011,5
Alabama,29/04/2011,5
Alabama,06/05/2011,6
Alabama,13/05/2011,6
Alabama,20/05/2011,6
Alabama,27/05/2011,5
Alabama,03/06/2011,5
Alabama,10/06/2011,5
Alabama,17/06/2011,7
Alabama,24/06/2011,8
Alabama,01/07/2011,8
Alabama,08/07/2011,8
Alabama,15/07/2011,8
Alabama,22/07/2011,8
Alabama,29/07/2011,8
Alabama,05/08/2011,8
Alabama,12/08/2011,7
Alabama,19/08/2011,8
Alabama,26/08/2011,8
Alabama,02/09/2011,7
Alabama,09/09/2011,7
Alabama,16/09/2011,7
Alabama,23/09/2011,7
Alabama,30/09/2011,7
Alabama,07/10/2011,7
Alabama,14/10/2011,8
Alabama,21/10/2011,7
Alabama,28/10/2011,6
Alabama,04/11/2011,6
Alabama,11/11/2011,6
Alabama,18/11/2011,4
Alabama,25/11/2011,3
Alabama,02/12/2011,3
Alabama,09/12/2011,3
